id_cliente,nombre_cliente,edad,genero,ciudad,ingreso_mensual,tipo_empleo,antiguedad_laboral_meses,monto_solicitado,plazo_meses,score_buro_externo,deuda_actual,num_tarjetas_activas,historial_pagos_atrasados,fecha_solicitud,canal_solicitud,dispositivo,ip_pais,resultado_solicitud,fraude_flag,edadrobust_scaler,ingreso_mensualrobust_scaler,antiguedad_laboral_mesesrobust_scaler,monto_solicitadorobust_scaler,plazo_mesesrobust_scaler,score_buro_externorobust_scaler,deuda_actualrobust_scaler,num_tarjetas_activasrobust_scaler,historial_pagos_atrasadosrobust_scaler,edadyeo_norm,edadl2_norm,ingreso_mensualyeo_norm,ingreso_mensuall2_norm,antiguedad_laboral_mesesyeo_norm,antiguedad_laboral_mesesl2_norm,monto_solicitadoyeo_norm,monto_solicitadol2_norm,plazo_mesesyeo_norm,plazo_mesesl2_norm,score_buro_externoyeo_norm,score_buro_externol2_norm,deuda_actualyeo_norm,deuda_actuall2_norm,num_tarjetas_activasyeo_norm,num_tarjetas_activasl2_norm,historial_pagos_atrasadosyeo_norm,historial_pagos_atrasadosl2_norm
CLI-3535,Victor Manuel Eutimio Criado Dávila,39.0,desconocido,desconocido,122820.0,empleado,32.0,1184641.0,60.0,6550.0,1075989.0,3.0,0.0,03/02/2026,call center,ios,ecuador,aprobado,0.0,-0.27586206896551724,-1.0646587972268942,-0.6637931034482759,2.281317838766593,1.0,0.299625468164794,0.47685458762417055,0.0,-0.5,-0.35844956077882295,1.0,-1.9341640015953239,1.0,-1.2217782811613032,1.0,1.713528534403934,1.0,1.3307640862439178,1.0,0.506502428668947,1.0,0.8708272340363503,1.0,0.08972016254826615,1.0,-1.154978408707881,0.0
CLI-4482,Francisco Jose Piquer Zamorano,28.0,femenino,cuenca,2335890.0,jubilado,82.0,100622.0,24.0,7720.0,66548.0,1.0,3.0,2025-02-20,desconocido,ios,ecuador,pendiente,0.0,-0.6551724137931034,0.0701557820896747,-0.23275862068965517,-0.22212086501066944,-0.5,0.7378277153558053,-0.7020105525983262,-0.5,1.0,-1.0064912487126259,1.0,0.14969071021639638,1.0,-0.33742972686673917,1.0,-0.6462945838868093,1.0,-0.7243013537000694,1.0,1.153894091702916,1.0,-1.5203786863371818,1.0,-0.9937313799445397,1.0,1.364018092104731,1.0
CLI-4858,Emma Santana Beltran,44.0,masculino,ibarra,2190810.0,independiente,12.0,139669.0,60.0,4480.0,1408454.0,5.0,3.0,18 de November de 2025,web,android,ecuador,rechazado,0.0,-0.10344827586206896,-0.004238113795791114,-0.8362068965517241,-0.13194553499672065,1.0,-0.4756554307116105,0.8651203692241575,0.5,1.0,-0.08202892461808767,1.0,0.038570377669678385,1.0,-1.7114433593027265,1.0,-0.3851617415166551,1.0,1.3307640862439178,1.0,-0.6466320189828635,1.0,1.3630134603184851,1.0,1.0312249847783386,1.0,1.364018092104731,1.0
CLI-2144,Urbano Alejo Agullo Martín,67.0,masculino,quito,1798580.0,desconocido,148.0,507051.0,48.0,6260.0,62902.0,5.0,2.0,2025-08-22,call center,ios,ecuador,pendiente,0.0,0.6896551724137931,-0.20536520080403659,0.33620689655172414,0.7164882266542266,0.5,0.19101123595505617,-0.7062684956591403,0.5,0.5,1.0889764576997847,1.0,-0.27116380266680234,1.0,0.5693087979936433,1.0,0.7907692668184748,1.0,0.6867732139686339,1.0,0.3455966768687027,1.0,-1.5402167178976285,1.0,1.0312249847783386,1.0,0.8765503230843952,1.0
CLI-3806,Lara Águila-Mendez,25.0,femenino,quito,1992730.0,independiente,237.0,204071.0,24.0,6040.0,1373836.0,5.0,3.0,desconocido,call center,desconocido,rusia,aprobado,1.0,-0.7586206896551724,-0.10580926693194405,1.103448275862069,0.016784754233139035,-0.5,0.10861423220973783,0.8246920990981943,0.5,1.0,-1.19530993688497,1.0,-0.11603040281463978,1.0,1.5885253636917243,1.0,-0.06497118873201896,1.0,-0.7243013537000694,1.0,0.2234028832486173,1.0,1.3143538581510046,1.0,1.0312249847783386,1.0,1.364018092104731,1.0
CLI-3432,Manu Hernandez Tamayo,56.0,femenino,quito,661730.0,empleado,220.0,195069.0,60.0,5460.0,1203546.0,4.0,1.0,18 de October de 2025,web,desconocido,ecuador,aprobado,0.0,0.3103448275862069,-0.7883173688312753,0.9568965517241379,-0.00400450795820901,1.0,-0.10861423220973783,0.625820699255619,0.25,0.0,0.5467223259835524,1.0,-1.2895216553276363,1.0,1.4059280443839117,1.0,-0.10412770062161412,1.0,1.3307640862439178,1.0,-0.099304583866562,1.0,1.066664402150985,1.0,0.5731179750185994,1.0,0.1590477084166273,1.0
CLI-4013,Ariel Cabrera Salcedo,51.0,femenino,manta,3584760.0,independiente,28.0,523054.0,24.0,6280.0,1154522.0,1.0,0.0,11-01-2024,desconocido,ios,ecuador,rechazado,0.0,0.13793103448275862,0.7105493908192149,-0.6982758620689655,0.7534456319917231,-0.5,0.19850187265917604,0.5685685323293027,-0.5,-0.5,0.2900687935278137,1.0,1.048903817045211,1.0,-1.308586937982773,1.0,0.8223220633114312,1.0,-0.7243013537000694,1.0,0.3566996748777426,1.0,0.9925358768014476,1.0,-0.9937313799445397,1.0,-1.154978408707881,0.0
CLI-3542,Sebastián Rebollo Valera,48.0,masculino,loja,2387260.0,desconocido,51.0,192464.0,60.0,4230.0,1327158.0,4.0,3.0,10-12-2024,app,ios,ecuador,aprobado,0.0,0.034482758620689655,0.09649721048529351,-0.5,-0.010020507514803285,1.0,-0.5692883895131086,0.7701796837957589,0.25,1.0,0.1325511349327879,1.0,0.18863819026354292,1.0,-0.8513246856946745,1.0,-0.11573995092001371,1.0,1.3307640862439178,1.0,-0.7867254604629969,1.0,1.2478774816487301,1.0,0.5731179750185994,1.0,1.364018092104731,1.0
CLI-2048,María Cristina Almudena Beltran Fabra,69.0,femenino,ambato,3227510.0,empleado,155.0,187309.0,24.0,3650.0,454141.0,1.0,0.0,2026-02-11,desconocido,android,ecuador,pendiente,0.0,0.7586206896551724,0.5273592935964229,0.39655172413793105,-0.021925489362881398,-0.5,-0.7865168539325843,-0.24936411135583839,-0.5,-0.5,1.1846571514076158,1.0,0.8006515645017436,1.0,0.6560971099557745,1.0,-0.13911127028774237,1.0,-0.7243013537000694,1.0,-1.1125859851623576,1.0,-0.28852708129656846,1.0,-0.9937313799445397,1.0,-1.154978408707881,0.0
CLI-1859,Miguela de Zamora,73.0,masculino,loja,2931980.0,independiente,44.0,128612.0,24.0,6730.0,243561.0,3.0,0.0,27/07/2024,call center,desconocido,ecuador,rechazado,0.0,0.896551724137931,0.3758178816097141,-0.5603448275862069,-0.15748062409355862,-0.5,0.36704119850187267,-0.4952877673476728,0.0,-0.5,1.3736137957931474,1.0,0.59030366594751,1.0,-0.9811520321659798,1.0,-0.45218255521141654,1.0,-0.7243013537000694,1.0,0.606282413826771,1.0,-0.8388902173021712,1.0,0.08972016254826615,1.0,-1.154978408707881,0.0
CLI-1582,Julio César del Diéguez,19.0,desconocido,manta,2395780.0,estudiante,95.0,761733.0,12.0,5510.0,138412.0,2.0,0.0,2026-01-24,web,android,colombia,aprobado,0.0,-0.9655172413793104,0.10086608278295114,-0.1206896551724138,1.3046520650697901,-1.0,-0.0898876404494382,-0.6180849299646611,-0.25,-0.5,-1.5939640155838737,1.0,0.1950784421471816,1.0,-0.14300134766817957,1.0,1.2171761388555842,1.0,-1.5406771205288021,1.0,-0.07145154358340182,1.0,-1.1967522605873318,1.0,-0.42741696705649357,1.0,-1.154978408707881,0.0
